billnum,billitem,material,qty,netval,tax,rpa_sat,calday
901095325,2,7000009745,1,80.83,16.17,97.00,2021-02-16
900917000,11,1000048574,1,1010.83,202.17,1213.00,2021-02-03
906486776,3,2037790002,1,33.33,6.67,40.00,2021-01-12
906981974,1,7000009745,3,242.50,48.50,291.00,2021-01-30
907360517,1,19657,1,769.17,153.83,923.00,2021-02-24
900683162,2,102738575,1,1065.83,213.17,1279.00,2021-01-13
906675578,1,2038963004,1,81.82,8.18,90.00,2021-01-16
906985018,2,2037402002,1,52.50,10.00,63.00,2021-01-31
900694744,3,2029414003,1,74.17,14.83,89.00,2021-01-14
900699061,13,2029580003,1,3807.50,761.50,4569.00,2021-01-13
906910764,10,2036560001,1,54.17,10.83,65.00,2021-01-28
900921604,1,25391,1,174.55,17.45,192.00,2021-02-03
901257140,6,2024877004,1,393.64,39.36,433.00,2021-02-28
906093122,11,1000052779,1,333.33,66.67,400.00,2021-01-03
900442104,1,1000039720,4,3280.00,656.00,3936.00,2021-01-01
900631799,2,102738575,2,2131.67,426.33,2558.00,2021-01-13
906008416,4,70841,1,255.83,51.17,307.00,2021-01-01
906500633,7,2037493002,1,51.67,10.33,62.00,2021-01-10
907146031,10,2036924003,1,48.33,9.67,58.00,2021-02-07
907415678,3,1000077313,2,63.64,6.36,70.00,2021-02-20
900463265,1,662670,3,1426.36,142.64,1569.00,2021-01-05
900533283,3,1000040451,1,56.67,11.33,68.00,2021-01-08
900651914,2,662670,3,1426.36,142.64,1569.00,2021-01-14
901141068,2,1000037211,2,6976.36,697.64,7674.00,2021-02-22
906220692,1,1000009510,1,400.00,80.00,480.00,2021-01-06
907198188,1,55204,1,171.67,34.33,206.00,2021-02-11
900524523,4,1000047035,4,146.67,29.33,176.00,2021-01-03
900626383,3,2021614001,1,81.67,16.33,98.00,2021-01-11
900642224,1,1000045563,1,45.00,9.00,54.00,2021-01-09
900917936,2,1000040915,3,185.00,37.00,222.00,2021-01-31
900992085,3,2027666002,4,266.67,53.33,320.00,2021-02-06
